Source,Target,Weight
11,54,0.242
11,45,0.106
11,50,0.180
11,51,0.232
11,44,0.070
2,54,0.304
2,45,0.098
2,50,0.093
2,51,0.291
2,55,0.067
3,44,0.180
3,54,0.085
3,51,0.412
3,52,0.081
3,53,0.079
4,44,0.188
4,45,0.059
4,50,0.070
4,51,0.276
4,52,0.086
4,54,0.128
4,55,0.069
5,44,0.341
5,47,0.055
5,50,0.055
5,51,0.112
5,52,0.142
5,53,0.079
5,54,0.068
6,54,0.204
6,44,0.203
6,46,0.417
7,47,0.409
7,44,0.162
7,54,0.126
7,52,0.066
8,47,0.443
8,54,0.192
8,55,0.056
8,44,0.091
9,47,0.397
9,54,0.191
9,44,0.115
10,44,0.136
10,54,0.108
10,47,0.074
10,51,0.393
10,52,0.114
1,54,0.202
1,44,0.054
1,46,0.611
12,54,0.188
12,44,0.148
12,46,0.440
13,54,0.180
13,44,0.143
13,48,0.487
13,46,0.052
14,54,0.351
14,44,0.107
14,48,0.343
15,44,0.157
15,47,0.091
15,54,0.067
15,52,0.524
16,44,0.206
16,52,0.541
17,54,0.144
17,45,0.117
17,52,0.479
17,44,0.082
18,44,0.141
18,52,0.630
19,44,0.168
19,52,0.574
20,44,0.157
20,54,0.101
20,52,0.506
21,44,0.255
21,52,0.529
22,54,0.102
22,45,0.496
22,44,0.072
22,55,0.089
23,44,0.214
23,54,0.076
23,47,0.052
23,52,0.519
28,44,0.080
28,46,0.096
28,48,0.315
28,50,0.052
28,54,0.236
28,55,0.084
29,54,0.205
29,44,0.073
29,48,0.454
29,55,0.063
26,54,0.103
26,45,0.621
27,54,0.113
27,45,0.082
27,44,0.056
27,50,0.523
27,55,0.061
24,54,0.148
24,44,0.087
24,48,0.159
24,49,0.355
24,55,0.084
25,44,0.080
25,46,0.062
25,48,0.076
25,49,0.373
25,50,0.052
25,54,0.142
25,55,0.103
30,54,0.125
30,55,0.096
30,48,0.051
30,49,0.473
30,44,0.052
31,44,0.108
31,46,0.117
31,48,0.072
31,49,0.347
31,50,0.075
31,54,0.123
31,55,0.058
32,54,0.084
32,44,0.072
32,49,0.630
33,44,0.091
33,54,0.073
33,49,0.645
34,44,0.101
34,47,0.070
34,52,0.051
34,53,0.456
34,54,0.141
34,55,0.062
35,44,0.074
35,47,0.076
35,50,0.066
35,52,0.129
35,53,0.310
35,54,0.157
36,54,0.212
36,45,0.066
36,50,0.563
36,55,0.064
37,54,0.171
37,44,0.061
37,46,0.572
37,45,0.056
38,54,0.185
38,55,0.564
38,50,0.078
39,54,0.115
39,55,0.510
39,50,0.109
39,45,0.068
40,54,0.181
40,55,0.481
40,50,0.143
41,44,0.051
41,45,0.053
41,46,0.051
41,48,0.057
41,50,0.057
41,54,0.210
41,55,0.413
42,54,0.128
42,44,0.066
42,50,0.652
43,54,0.170
43,50,0.334
43,51,0.330
