Source,Target,Weight
29,14,0.9
29,28,0.72
24,32,0.36
18,23,0.9
1,37,2.56
21,20,4.35
6,12,4.35
7,8,2.94
43,42,0.31
25,24,5.56
15,21,20.0
41,39,1.03
13,14,0.69
27,43,0.53
17,20,3.7
6,1,0.52
41,40,1.47
15,17,2.22
29,13,3.03
25,31,3.85
24,33,0.34
36,42,1.12
39,38,1.85
10,3,5.26
7,9,8.33
16,23,4.55
1,12,0.58
31,33,0.34
15,23,20.0
16,18,1.12
40,38,1.2
27,42,0.78
17,23,2.5
15,18,0.94
10,43,1.59
25,30,1.0
24,30,0.85
36,43,0.44
17,19,1.05
26,22,0.8
16,21,8.33
30,33,0.58
14,2,2.13
18,20,0.81
8,9,2.17
19,21,2.22
17,16,1.61
40,39,3.45
6,37,0.65
27,36,2.5
31,32,0.35
16,19,3.03
17,21,2.0
25,33,0.37
24,31,12.5
28,13,0.58
17,18,0.66
30,32,0.64
41,38,0.66
19,23,1.82
18,21,0.99
3,43,1.22
16,20,2.86
19,20,1.47
31,30,0.79
20,23,7.69
35,34,0.68
15,16,5.88
15,20,5.56
19,18,1.79
25,32,0.39
28,14,3.57
15,19,2.0
21,23,10.0
33,32,6.67
12,37,0.76
