DocID,Topic,Score,File,Author
42,Topic9,0.242,stevenson_treasure_ch1.txt,stevenson
42,Topic10,0.106,stevenson_treasure_ch1.txt,stevenson
42,Topic5,0.180,stevenson_treasure_ch1.txt,stevenson
42,Topic4,0.232,stevenson_treasure_ch1.txt,stevenson
42,Topic11,0.070,stevenson_treasure_ch1.txt,stevenson
43,Topic9,0.304,stevenson_treasure_ch2.txt,stevenson
43,Topic10,0.098,stevenson_treasure_ch2.txt,stevenson
43,Topic5,0.093,stevenson_treasure_ch2.txt,stevenson
43,Topic4,0.291,stevenson_treasure_ch2.txt,stevenson
43,Topic8,0.067,stevenson_treasure_ch2.txt,stevenson
24,Topic11,0.180,eliot_middlemarch_ch2.txt,eliot
24,Topic9,0.085,eliot_middlemarch_ch2.txt,eliot
24,Topic4,0.412,eliot_middlemarch_ch2.txt,eliot
24,Topic7,0.081,eliot_middlemarch_ch2.txt,eliot
24,Topic6,0.079,eliot_middlemarch_ch2.txt,eliot
25,Topic11,0.188,eliot_middlemarch_ch48.txt,eliot
25,Topic10,0.059,eliot_middlemarch_ch48.txt,eliot
25,Topic5,0.070,eliot_middlemarch_ch48.txt,eliot
25,Topic4,0.276,eliot_middlemarch_ch48.txt,eliot
25,Topic7,0.086,eliot_middlemarch_ch48.txt,eliot
25,Topic9,0.128,eliot_middlemarch_ch48.txt,eliot
25,Topic8,0.069,eliot_middlemarch_ch48.txt,eliot
26,Topic11,0.341,eliot_middlemarch_ch73.txt,eliot
26,Topic1,0.055,eliot_middlemarch_ch73.txt,eliot
26,Topic5,0.055,eliot_middlemarch_ch73.txt,eliot
26,Topic4,0.112,eliot_middlemarch_ch73.txt,eliot
26,Topic7,0.142,eliot_middlemarch_ch73.txt,eliot
26,Topic6,0.079,eliot_middlemarch_ch73.txt,eliot
26,Topic9,0.068,eliot_middlemarch_ch73.txt,eliot
27,Topic9,0.204,eljames_fiftyshades_ch1.txt,eljames
27,Topic11,0.203,eljames_fiftyshades_ch1.txt,eljames
27,Topic12,0.417,eljames_fiftyshades_ch1.txt,eljames
20,Topic1,0.409,doyle_caseofidentity.txt,doyle
20,Topic11,0.162,doyle_caseofidentity.txt,doyle
20,Topic9,0.126,doyle_caseofidentity.txt,doyle
20,Topic7,0.066,doyle_caseofidentity.txt,doyle
21,Topic1,0.443,doyle_redheadedleague.txt,doyle
21,Topic9,0.192,doyle_redheadedleague.txt,doyle
21,Topic8,0.056,doyle_redheadedleague.txt,doyle
21,Topic11,0.091,doyle_redheadedleague.txt,doyle
22,Topic1,0.397,doyle_scandalbohemia.txt,doyle
22,Topic9,0.191,doyle_scandalbohemia.txt,doyle
22,Topic11,0.115,doyle_scandalbohemia.txt,doyle
23,Topic11,0.136,eliot_middlemarch_ch1.txt,eliot
23,Topic9,0.108,eliot_middlemarch_ch1.txt,eliot
23,Topic1,0.074,eliot_middlemarch_ch1.txt,eliot
23,Topic4,0.393,eliot_middlemarch_ch1.txt,eliot
23,Topic7,0.114,eliot_middlemarch_ch1.txt,eliot
28,Topic9,0.202,eljames_fiftyshades_ch18.txt,eljames
28,Topic11,0.054,eljames_fiftyshades_ch18.txt,eljames
28,Topic12,0.611,eljames_fiftyshades_ch18.txt,eljames
29,Topic9,0.188,eljames_fiftyshades_ch2.txt,eljames
29,Topic11,0.148,eljames_fiftyshades_ch2.txt,eljames
29,Topic12,0.440,eljames_fiftyshades_ch2.txt,eljames
40,Topic9,0.180,meyer_twilight_ch2.txt,meyer
40,Topic11,0.143,meyer_twilight_ch2.txt,meyer
40,Topic3,0.487,meyer_twilight_ch2.txt,meyer
40,Topic12,0.052,meyer_twilight_ch2.txt,meyer
41,Topic9,0.351,meyer_twilight_ch21.txt,meyer
41,Topic11,0.107,meyer_twilight_ch21.txt,meyer
41,Topic3,0.343,meyer_twilight_ch21.txt,meyer
1,Topic11,0.157,austen_pride_ch1.txt,austen
1,Topic1,0.091,austen_pride_ch1.txt,austen
1,Topic9,0.067,austen_pride_ch1.txt,austen
1,Topic7,0.524,austen_pride_ch1.txt,austen
3,Topic11,0.206,austen_pride_ch40.txt,austen
3,Topic7,0.541,austen_pride_ch40.txt,austen
2,Topic9,0.144,austen_pride_ch2.txt,austen
2,Topic10,0.117,austen_pride_ch2.txt,austen
2,Topic7,0.479,austen_pride_ch2.txt,austen
2,Topic11,0.082,austen_pride_ch2.txt,austen
5,Topic11,0.141,austen_sense_ch1.txt,austen
5,Topic7,0.630,austen_sense_ch1.txt,austen
4,Topic11,0.168,austen_pride_ch50.txt,austen
4,Topic7,0.574,austen_pride_ch50.txt,austen
7,Topic11,0.157,austen_sense_ch27.txt,austen
7,Topic9,0.101,austen_sense_ch27.txt,austen
7,Topic7,0.506,austen_sense_ch27.txt,austen
6,Topic11,0.255,austen_sense_ch2.txt,austen
6,Topic7,0.529,austen_sense_ch2.txt,austen
9,Topic9,0.102,barrie_peterpan_ch1.txt,barrie
9,Topic10,0.496,barrie_peterpan_ch1.txt,barrie
9,Topic11,0.072,barrie_peterpan_ch1.txt,barrie
9,Topic8,0.089,barrie_peterpan_ch1.txt,barrie
8,Topic11,0.214,austen_sense_ch41.txt,austen
8,Topic9,0.076,austen_sense_ch41.txt,austen
8,Topic1,0.052,austen_sense_ch41.txt,austen
8,Topic7,0.519,austen_sense_ch41.txt,austen
39,Topic11,0.080,meyer_twilight_ch15.txt,meyer
39,Topic12,0.096,meyer_twilight_ch15.txt,meyer
39,Topic3,0.315,meyer_twilight_ch15.txt,meyer
39,Topic5,0.052,meyer_twilight_ch15.txt,meyer
39,Topic9,0.236,meyer_twilight_ch15.txt,meyer
39,Topic8,0.084,meyer_twilight_ch15.txt,meyer
38,Topic9,0.205,meyer_twilight_ch1.txt,meyer
38,Topic11,0.073,meyer_twilight_ch1.txt,meyer
38,Topic3,0.454,meyer_twilight_ch1.txt,meyer
38,Topic8,0.063,meyer_twilight_ch1.txt,meyer
11,Topic9,0.103,barrie_peterpan_ch2.txt,barrie
11,Topic10,0.621,barrie_peterpan_ch2.txt,barrie
10,Topic9,0.113,barrie_peterpan_ch15.txt,barrie
10,Topic10,0.082,barrie_peterpan_ch15.txt,barrie
10,Topic11,0.056,barrie_peterpan_ch15.txt,barrie
10,Topic5,0.523,barrie_peterpan_ch15.txt,barrie
10,Topic8,0.061,barrie_peterpan_ch15.txt,barrie
13,Topic9,0.148,brown_angels_ch2_4.txt,brown
13,Topic11,0.087,brown_angels_ch2_4.txt,brown
13,Topic3,0.159,brown_angels_ch2_4.txt,brown
13,Topic2,0.355,brown_angels_ch2_4.txt,brown
13,Topic8,0.084,brown_angels_ch2_4.txt,brown
12,Topic11,0.080,brown_angels_ch1.txt,brown
12,Topic12,0.062,brown_angels_ch1.txt,brown
12,Topic3,0.076,brown_angels_ch1.txt,brown
12,Topic2,0.373,brown_angels_ch1.txt,brown
12,Topic5,0.052,brown_angels_ch1.txt,brown
12,Topic9,0.142,brown_angels_ch1.txt,brown
12,Topic8,0.103,brown_angels_ch1.txt,brown
15,Topic9,0.125,brown_davinci_ch1.txt,brown
15,Topic8,0.096,brown_davinci_ch1.txt,brown
15,Topic3,0.051,brown_davinci_ch1.txt,brown
15,Topic2,0.473,brown_davinci_ch1.txt,brown
15,Topic11,0.052,brown_davinci_ch1.txt,brown
14,Topic11,0.108,brown_davinci_ch0.txt,brown
14,Topic12,0.117,brown_davinci_ch0.txt,brown
14,Topic3,0.072,brown_davinci_ch0.txt,brown
14,Topic2,0.347,brown_davinci_ch0.txt,brown
14,Topic5,0.075,brown_davinci_ch0.txt,brown
14,Topic9,0.123,brown_davinci_ch0.txt,brown
14,Topic8,0.058,brown_davinci_ch0.txt,brown
17,Topic9,0.084,brown_davinci_ch92.txt,brown
17,Topic11,0.072,brown_davinci_ch92.txt,brown
17,Topic2,0.630,brown_davinci_ch92.txt,brown
16,Topic11,0.091,brown_davinci_ch77.txt,brown
16,Topic9,0.073,brown_davinci_ch77.txt,brown
16,Topic2,0.645,brown_davinci_ch77.txt,brown
19,Topic11,0.101,conrad_secret_ch2.txt,conrad
19,Topic1,0.070,conrad_secret_ch2.txt,conrad
19,Topic7,0.051,conrad_secret_ch2.txt,conrad
19,Topic6,0.456,conrad_secret_ch2.txt,conrad
19,Topic9,0.141,conrad_secret_ch2.txt,conrad
19,Topic8,0.062,conrad_secret_ch2.txt,conrad
18,Topic11,0.074,conrad_secret_ch1.txt,conrad
18,Topic1,0.076,conrad_secret_ch1.txt,conrad
18,Topic5,0.066,conrad_secret_ch1.txt,conrad
18,Topic7,0.129,conrad_secret_ch1.txt,conrad
18,Topic6,0.310,conrad_secret_ch1.txt,conrad
18,Topic9,0.157,conrad_secret_ch1.txt,conrad
