topicId,rank,docId,filename
1,1,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
1,2,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
1,3,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
1,4,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
1,5,23,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch1.txt
1,6,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
1,7,38,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch1.txt
1,8,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
1,9,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
1,10,9,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch1.txt
1,11,8,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch41.txt
1,12,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
1,13,28,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch18.txt
1,14,15,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch1.txt
1,15,26,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch73.txt
1,16,40,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch2.txt
1,17,29,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch2.txt
1,18,27,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch1.txt
1,19,4,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch50.txt
1,20,17,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch92.txt
1,21,7,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch27.txt
1,22,1,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch1.txt
1,23,16,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch77.txt
1,24,12,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch1.txt
1,25,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
1,26,14,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch0.txt
1,27,5,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch1.txt
1,28,43,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch2.txt
1,29,34,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch1.txt
1,30,30,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch23.txt
1,31,33,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_wateroflife.txt
1,32,36,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch14.txt
1,33,24,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch2.txt
1,34,11,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch2.txt
1,35,6,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch2.txt
1,36,3,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch40.txt
1,37,41,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch21.txt
1,38,13,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch2_4.txt
1,39,31,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_hanselgretel.txt
1,40,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
1,41,37,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch2.txt
1,42,2,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch2.txt
1,43,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
2,1,17,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch92.txt
2,2,15,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch1.txt
2,3,16,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch77.txt
2,4,13,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch2_4.txt
2,5,12,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch1.txt
2,6,14,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch0.txt
2,7,29,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch2.txt
2,8,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
2,9,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
2,10,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
2,11,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
2,12,38,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch1.txt
2,13,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
2,14,30,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch23.txt
2,15,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
2,16,28,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch18.txt
2,17,27,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch1.txt
2,18,23,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch1.txt
2,19,9,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch1.txt
2,20,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
2,21,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
2,22,24,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch2.txt
2,23,40,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch2.txt
2,24,41,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch21.txt
2,25,4,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch50.txt
2,26,7,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch27.txt
2,27,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
2,28,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
2,29,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
2,30,26,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch73.txt
2,31,11,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch2.txt
2,32,1,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch1.txt
2,33,5,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch1.txt
