topicId,words..
1,holmes mr man street matter heard business case face red
2,langdon man felt word gettum sophie religious teabing city curator
3,didn looked asked edward couldn wasn eyes walked made hair
4,dorothea celia glass sir made casaubon man brooke snowdrop captain
5,thought cried hook woman hansel life peter father long children
6,mr verloc vladimir air sort winnie fact don women business
7,mr mrs mother elinor sister day thing dashwood bennet half
8,lucy mr looked light face began aslan peter knew great
9,time back good door hand room voice ll eyes side
10,darling mrs night wendy mr father remember mother children nana
11,make thought mind years young miss life people give place
12,don eyes grey christian feel head ve steele hands hair
